Altium Designer Pick and Place Locations
D:\Altium_22\Projects\ir_robot\Project Outputs for ir_robot\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       04/05/25
Time:       23:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               
U3         TB6612FNG          TopLayer    TOSH-SSOP-24_M                70.3250      85.1500      0        "Driver IC for Dual DC Motor, 15 V, -20 to 85 degC, 24-Pin SSOP, RoHS, Tape and Reel"                     
J3         B6B-PH-K-E(LF)(SN) TopLayer    FP-B6B-PH-K-E_LF_SN-MFG       72.4500      70.5500      90       "PH Series 6 Position 2.0 mm Pitch Through Hole Top Entry Shrouded Header"                                
J2         B6B-PH-K-E(LF)(SN) TopLayer    FP-B6B-PH-K-E_LF_SN-MFG       64.3750      70.5500      90       "PH Series 6 Position 2.0 mm Pitch Through Hole Top Entry Shrouded Header"                                
U1         STM32F446VET6      TopLayer    FP-LQFP100-1L-MFG             75.3000      35.0000      0        "IC MCU 32BIT 512KB FLASH 100LQFP"                                                                        
R30        330                TopLayer    RES_0603                      23.2500      63.4250      0        "Resistor SMD 0603"                                                                                       
R22        1.2k               TopLayer    RES_0603                      23.5750      76.1500      180      "Resistor SMD 0603"                                                                                       
LED4       LED                TopLayer    LED0805                       18.6658      63.4500      0        "LED SMD 0805"                                                                                            
VR1        "10kOhm Var"       TopLayer    BOUR-3299W-3_V                88.4400      55.6500      90       3296W-103                                                                                                 
U10        LM324M             TopLayer    D0014A_M                      19.6000      13.9500      270      "Low Power Quad Operational Amplifier, 14-pin Narrow SOIC"                                                
U9         LM324M             TopLayer    D0014A_M                      79.0500      13.7750      270      "Low Power Quad Operational Amplifier, 14-pin Narrow SOIC"                                                
U8         LM339DR2G          TopLayer    ONSC-SOIC-14-751A-03_V        8.8750       14.1250      270      "Single Supply Quad Comparators, 0 to 70 degC, 14-Pin SOIC, Pb-Free, Tape and Reel"                       
U7         LM324M             TopLayer    D0014A_M                      82.7750      87.0000      90       "Low Power Quad Operational Amplifier, 14-pin Narrow SOIC"                                                
U6         LM339DR2G          TopLayer    ONSC-SOIC-14-751A-03_V        91.0750      13.9000      270      "Single Supply Quad Comparators, 0 to 70 degC, 14-Pin SOIC, Pb-Free, Tape and Reel"                       
